PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
A Flintoff,1,0,0.0,438
CD McMillan,34,27,0.7941176470588235,438
EC Joyce,2,0,0.0,438
IR Bell,21,5,0.23809523809523808,438
JDP Oram,87,63,0.7241379310344828,438
JWM Dalrymple,12,3,0.25,438
KP Pietersen,93,60,0.6451612903225806,438
L Vincent,7,0,0.0,438
LE Plunkett,34,29,0.8529411764705882,438
LRPL Taylor,1,0,0.0,438
MP Vaughan,53,26,0.49056603773584906,438
PA Nixon,41,42,1.024390243902439,438
PD Collingwood,54,31,0.5740740740740741,438
SB Styris,114,87,0.7631578947368421,438
SP Fleming,12,7,0.5833333333333334,438
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AC Voges,77,80,1.0389610389610389,1858
AJ Strauss,2,0,0.0,1858
BJ Haddin,63,27,0.42857142857142855,1858
CJ Ferguson,23,15,0.6521739130434783,1858
CL White,48,24,0.5,1858
DJ Hussey,62,60,0.967741935483871,1858
IJL Trott,26,14,0.5384615384615384,1858
IR Bell,17,8,0.47058823529411764,1858
JJ Krejza,6,6,1.0,1858
JM Anderson,8,4,0.5,1858
JW Hastings,5,6,1.2,1858
KP Pietersen,35,26,0.7428571428571429,1858
LE Plunkett,32,20,0.625,1858
LJ Wright,19,24,1.263157894736842,1858
MG Johnson,26,26,1.0,1858
MH Yardy,81,60,0.7407407407407407,1858
MJ Prior,53,39,0.7358490566037735,1858
SM Davies,8,0,0.0,1858
ST Finn,3,0,0.0,1858
TD Paine,8,5,0.625,1858
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
A Symonds,10,15,1.5,465
AC Gilchrist,27,34,1.2592592592592593,465
AR White,23,6,0.2608695652173913,465
D Langford-Smith,7,2,0.2857142857142857,465
DT Johnston,26,17,0.6538461538461539,465
EJG Morgan,9,0,0.0,465
JF Mooney,46,23,0.5,465
JP Bray,2,1,0.5,465
KJ O'Brien,29,16,0.5517241379310345,465
MEK Hussey,46,30,0.6521739130434783,465
NJ O'Brien,1,0,0.0,465
WB Rankin,20,4,0.2,465
WK McCallan,19,5,0.2631578947368421,465
WTS Porterfield,11,1,0.09090909090909091,465
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
Azhar Ali,61,36,0.5901639344262295,3391
Fawad Alam,6,0,0.0,3391
Haris Sohail,62,44,0.7096774193548387,3391
Mahmudullah,29,17,0.5862068965517241,3391
Mohammad Hafeez,6,0,0.0,3391
Mohammad Rizwan,23,13,0.5652173913043478,3391
Mushfiqur Rahim,70,65,0.9285714285714286,3391
Saad Nasim,97,77,0.7938144329896907,3391
Sarfraz Ahmed,11,7,0.6363636363636364,3391
Shakib Al Hasan,5,7,1.4,3391
Soumya Sarkar,11,17,1.5454545454545454,3391
Tamim Iqbal,126,116,0.9206349206349206,3391
Wahab Riaz,41,51,1.2439024390243902,3391
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AB Barath,99,50,0.5050505050505051,1521
ADS Fletcher,12,6,0.5,1521
BRM Taylor,2,1,0.5,1521
CH Gayle,68,57,0.8382352941176471,1521
D Ramdin,17,8,0.47058823529411764,1521
DR Smith,6,4,0.6666666666666666,1521
E Chigumbura,23,27,1.173913043478261,1521
GA Lamb,3,2,0.6666666666666666,1521
H Masakadza,45,41,0.9111111111111111,1521
KA Pollard,14,5,0.35714285714285715,1521
KAJ Roach,1,1,1.0,1521
N Deonarine,18,17,0.9444444444444444,1521
NO Miller,4,12,3.0,1521
S Chanderpaul,72,70,0.9722222222222222,1521
S Matsikenyeri,14,16,1.1428571428571428,1521
SJ Benn,1,0,0.0,1521
T Taibu,55,56,1.018181818181818,1521
V Sibanda,165,95,0.5757575757575758,1521
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
A Bagai,49,22,0.4489795918367347,1872
AD Mathews,17,21,1.2352941176470589,1872
AS Hansra,50,9,0.18,1872
CK Kapugedera,3,2,0.6666666666666666,1872
DPMD Jayawardene,82,100,1.2195121951219512,1872
H Osinde,10,4,0.4,1872
HS Baidwan,36,16,0.4444444444444444,1872
JM Davison,1,0,0.0,1872
KC Sangakkara,89,92,1.0337078651685394,1872
KMDN Kulasekara,3,7,2.3333333333333335,1872
Khurram Chohan,8,4,0.5,1872
NLTC Perera,11,11,1.0,1872
R Gunasekera,10,1,0.1,1872
Rizwan Cheema,35,37,1.0571428571428572,1872
TG Gordon,10,4,0.4,1872
TM Dilshan,61,50,0.819672131147541,1872
TT Samaraweera,10,18,1.8,1872
WD Balaji Rao,7,6,0.8571428571428571,1872
WU Tharanga,32,19,0.59375,1872
ZE Surkari,10,6,0.6,1872
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AB de Villiers,90,91,1.011111111111111,3238
AJ Finch,37,22,0.5945945945945946,3238
DA Miller,63,45,0.7142857142857143,3238
DA Warner,8,4,0.5,3238
DW Steyn,4,0,0.0,3238
F Behardien,23,22,0.9565217391304348,3238
F du Plessis,38,28,0.7368421052631579,3238
GJ Bailey,29,16,0.5517241379310345,3238
GJ Maxwell,5,2,0.4,3238
HM Amla,23,18,0.782608695652174,3238
JP Faulkner,20,34,1.7,3238
MS Wade,61,52,0.8524590163934426,3238
PJ Cummins,1,1,1.0,3238
Q de Kock,39,17,0.4358974358974359,3238
R McLaren,14,13,0.9285714285714286,3238
RJ Peterson,12,11,0.9166666666666666,3238
SPD Smith,115,104,0.9043478260869565,3238
SR Watson,25,19,0.76,3238
WD Parnell,3,3,1.0,3238
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AA Obanda,13,14,1.0769230769230769,1895
BJ Haddin,80,65,0.8125,1895
CL White,7,2,0.2857142857142857,1895
CO Obuya,132,98,0.7424242424242424,1895
DO Obuya,17,12,0.7058823529411765,1895
MA Ouma,13,4,0.3076923076923077,1895
MEK Hussey,44,54,1.2272727272727273,1895
MG Johnson,7,12,1.7142857142857142,1895
MJ Clarke,83,93,1.1204819277108433,1895
RR Patel,7,6,0.8571428571428571,1895
RT Ponting,55,36,0.6545454545454545,1895
SPD Smith,15,17,1.1333333333333333,1895
SR Watson,17,21,1.2352941176470589,1895
T Mishra,90,72,0.8,1895
TM Odoyo,38,35,0.9210526315789473,1895
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AG Cremer,57,31,0.543859649122807,3961
BB Chari,11,7,0.6363636363636364,3961
BKG Mendis,8,12,1.5,3961
CJ Chibhabha,46,18,0.391304347826087,3961
CR Ervine,2,0,0.0,3961
CT Mumba,5,1,0.2,3961
DM de Silva,75,78,1.04,3961
DT Tiripano,41,19,0.4634146341463415,3961
E Chigumbura,4,1,0.25,3961
MDKJ Perera,27,21,0.7777777777777778,3961
N Dickwella,38,41,1.0789473684210527,3961
PJ Moor,53,47,0.8867924528301887,3961
SC Williams,23,9,0.391304347826087,3961
Sikandar Raza,3,1,0.3333333333333333,3961
T Panyangara,10,12,1.2,3961
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AD Mathews,33,44,1.3333333333333333,2734
DPMD Jayawardene,115,107,0.9304347826086956,2734
I Sharma,7,2,0.2857142857142857,2734
KD Karthik,42,22,0.5238095238095238,2734
M Vijay,47,30,0.6382978723404256,2734
Mohammed Shami,1,0,0.0,2734
R Ashwin,13,4,0.3076923076923077,2734
RA Jadeja,63,49,0.7777777777777778,2734
